criterion,drive_csv,fbetascore_grid,min_samples_split,splitter
gini,ST4000DM005.csv,0.49961270333075136,2.0,best
gini,ST4000DM001.csv,0.4998965338851526,0.1,best
gini,ST3160318AS.csv,0.49984859190471387,2.0,best
gini,WDC WD20EFRX.csv,0.49992573889796527,2.0,random
gini,ST250LM004 HN.csv,0.4998952440812906,3.0,best
gini,ST9250315AS.csv,0.4999110056363097,3.0,best
gini,ST32000542AS.csv,0.4999159169259228,2.0,best
gini,ST3160316AS.csv,0.4999217894572188,2.0,best
entropy,ST31500541AS.csv,0.5453507629273717,4.0,best
gini,ST8000DM002.csv,0.5689557452875122,4.0,best
gini,WDC WD60EFRX.csv,0.699973986785287,4.0,best
gini,WDC WD800AAJS.csv,1.0,3.0,best
