drive_csv,failure,file,lines,ok,size,test,train,validate
Samsung SSD 850 EVO 1TB.csv,10,drives_minified\Samsung SSD 850 EVO 1TB.csv,235,224,7791,1,8,1
ST2000DL003.csv,8,drives_minified\ST2000DL003.csv,1238,1229,28516,1,6,1
ST2000DL001.csv,5,drives_minified\ST2000DL001.csv,1448,1442,36106,1,3,1
ST4000DX002.csv,4,drives_minified\ST4000DX002.csv,2324,2319,281200,1,2,1
WDC WD1600BPVT.csv,4,drives_minified\WDC WD1600BPVT.csv,2495,2490,140770,1,2,1
ST250LT007.csv,9,drives_minified\ST250LT007.csv,3594,3584,516290,1,7,1
WDC WD30EZRS.csv,3,drives_minified\WDC WD30EZRS.csv,4425,4421,79185,1,1,1
ST320005XXXX.csv,7,drives_minified\ST320005XXXX.csv,5033,5025,128711,1,5,1
WDC WD1600AAJB.csv,6,drives_minified\WDC WD1600AAJB.csv,5758,5751,287064,1,4,1
Hitachi HDS723020BLA642.csv,3,drives_minified\Hitachi HDS723020BLA642.csv,9621,9617,195003,1,1,1
HGST HUS726040ALE610.csv,3,drives_minified\HGST HUS726040ALE610.csv,9638,9634,454674,1,1,1
WDC WD800JB.csv,7,drives_minified\WDC WD800JB.csv,10384,10376,447473,1,5,1
WDC WD800AAJB.csv,11,drives_minified\WDC WD800AAJB.csv,11019,11007,544972,1,8,1
WDC WD3200BEKX.csv,5,drives_minified\WDC WD3200BEKX.csv,12474,12468,571737,1,3,1
ST4000DM005.csv,5,drives_minified\ST4000DM005.csv,13291,13285,1412413,1,3,1
WDC WD800AAJS.csv,15,drives_minified\WDC WD800AAJS.csv,14704,14688,715873,1,12,1
WDC WD10EADX.csv,4,drives_minified\WDC WD10EADX.csv,15598,15593,275452,1,2,1
WDC WD800BB.csv,12,drives_minified\WDC WD800BB.csv,23657,23644,1057641,1,9,1
ST1500DL003.csv,90,drives_minified\ST1500DL003.csv,30914,30823,734171,9,72,9
ST9320325AS.csv,3,drives_minified\ST9320325AS.csv,35270,35266,2902207,1,1,1
ST250LM004 HN.csv,12,drives_minified\ST250LM004 HN.csv,48220,48207,3284068,1,9,1
ST3160318AS.csv,16,drives_minified\ST3160318AS.csv,48930,48913,5413401,2,12,2
WDC WD10EACS.csv,8,drives_minified\WDC WD10EACS.csv,60952,60943,1108583,1,6,1
ST3160316AS.csv,12,drives_minified\ST3160316AS.csv,63967,63954,7067851,1,9,1
WDC WD20EFRX.csv,15,drives_minified\WDC WD20EFRX.csv,67423,67407,2926660,1,12,1
TOSHIBA MQ01ABF050M.csv,3,drives_minified\TOSHIBA MQ01ABF050M.csv,68676,68672,3609489,1,1,1
WDC WD40EFRX.csv,4,drives_minified\WDC WD40EFRX.csv,71441,71436,3484180,1,2,1
ST320LT007.csv,89,drives_minified\ST320LT007.csv,72220,72130,10665867,9,71,9
TOSHIBA DT01ACA300.csv,7,drives_minified\TOSHIBA DT01ACA300.csv,74178,74170,1332672,1,5,1
ST9250315AS.csv,17,drives_minified\ST9250315AS.csv,84289,84271,6965522,2,13,2
