clf_name,drive,f_beta_score,time
FakeAlgorithm,Samsung SSD 850 EVO 1TB.csv,0.4821428571428572,0.010999202728271484
DecisionTreeClassifier,Samsung SSD 850 EVO 1TB.csv,0.0,0.12649869918823242
LinearSVC,Samsung SSD 850 EVO 1TB.csv,0.03333333333333333,0.13299822807312012
SGDClassifier,Samsung SSD 850 EVO 1TB.csv,0.0,0.031005859375
NearestCentroid,Samsung SSD 850 EVO 1TB.csv,0.4081632653061225,0.13699984550476074
GaussianNB,Samsung SSD 850 EVO 1TB.csv,0.0,0.11899852752685547
AdaBoostClassifier,Samsung SSD 850 EVO 1TB.csv,0.0,0.3979966640472412
RandomForestClassifier,Samsung SSD 850 EVO 1TB.csv,0.0,0.454996109008789
MLPClassifier,Samsung SSD 850 EVO 1TB.csv,0.0,0.047998666763305664
FakeAlgorithm,ST2000DL003.csv,0.4869565217391305,0.009001016616821289
DecisionTreeClassifier,ST2000DL003.csv,0.0,0.11900091171264647
LinearSVC,ST2000DL003.csv,0.2531645569620253,0.12449908256530763
SGDClassifier,ST2000DL003.csv,0.0,0.007999181747436523
NearestCentroid,ST2000DL003.csv,0.4158415841584158,0.12249970436096193
GaussianNB,ST2000DL003.csv,0.0,0.10755467414855956
AdaBoostClassifier,ST2000DL003.csv,0.0,0.5129933357238771
RandomForestClassifier,ST2000DL003.csv,0.0,0.43349337577819824
MLPClassifier,ST2000DL003.csv,0.0,0.16249680519104004
FakeAlgorithm,ST2000DL001.csv,0.4825174825174825,0.003000497817993164
DecisionTreeClassifier,ST2000DL001.csv,0.0,0.08949923515319824
LinearSVC,ST2000DL001.csv,0.0,0.050012826919555664
SGDClassifier,ST2000DL001.csv,0.0,0.012999773025512695
NearestCentroid,ST2000DL001.csv,0.3966959879854109,0.12299919128417967
GaussianNB,ST2000DL001.csv,0.0,0.11349987983703612
AdaBoostClassifier,ST2000DL001.csv,0.0,0.5039942264556885
RandomForestClassifier,ST2000DL001.csv,0.0,0.4289946556091309
MLPClassifier,ST2000DL001.csv,0.0,0.13249754905700686
FakeAlgorithm,ST4000DX002.csv,0.4773218142548596,0.04099941253662109
DecisionTreeClassifier,ST4000DX002.csv,0.0,0.058999300003051765
LinearSVC,ST4000DX002.csv,0.10198657208443362,0.12999916076660156
SGDClassifier,ST4000DX002.csv,0.0,0.04449892044067383
NearestCentroid,ST4000DX002.csv,0.3529411764705882,0.12949848175048828
GaussianNB,ST4000DX002.csv,0.4979253112033195,0.1456756591796875
AdaBoostClassifier,ST4000DX002.csv,0.0,0.6942236423492432
RandomForestClassifier,ST4000DX002.csv,0.0,0.4331703186035156
MLPClassifier,ST4000DX002.csv,0.0,0.15517711639404294
FakeAlgorithm,WDC WD1600BPVT.csv,0.4729411764705882,0.03699922561645508
DecisionTreeClassifier,WDC WD1600BPVT.csv,0.0,0.11000609397888184
LinearSVC,WDC WD1600BPVT.csv,0.0,0.0709993839263916
SGDClassifier,WDC WD1600BPVT.csv,0.0,0.06349945068359375
NearestCentroid,WDC WD1600BPVT.csv,0.3725490196078431,0.13099932670593262
GaussianNB,WDC WD1600BPVT.csv,0.4862385321100917,0.14149904251098633
AdaBoostClassifier,WDC WD1600BPVT.csv,0.0,0.5899922847747803
RandomForestClassifier,WDC WD1600BPVT.csv,0.0,0.4404947757720947
MLPClassifier,WDC WD1600BPVT.csv,0.0,0.16599774360656738
FakeAlgorithm,ST250LT007.csv,0.4757281553398058,0.010499238967895508
DecisionTreeClassifier,ST250LT007.csv,0.0,0.12799715995788574
LinearSVC,ST250LT007.csv,0.0,0.05149936676025391
SGDClassifier,ST250LT007.csv,0.0,0.02850031852722168
NearestCentroid,ST250LT007.csv,0.3471502590673575,0.13949799537658691
GaussianNB,ST250LT007.csv,0.0,0.13050007820129395
AdaBoostClassifier,ST250LT007.csv,0.0,0.940990686416626
RandomForestClassifier,ST250LT007.csv,0.0,0.441495418548584
MLPClassifier,ST250LT007.csv,0.0,0.2584958076477051
FakeAlgorithm,WDC WD30EZRS.csv,0.4788571428571429,0.005500078201293945
DecisionTreeClassifier,WDC WD30EZRS.csv,0.0,0.016499996185302734
LinearSVC,WDC WD30EZRS.csv,0.0,0.014498949050903319
SGDClassifier,WDC WD30EZRS.csv,0.0,0.009501457214355469
NearestCentroid,WDC WD30EZRS.csv,0.010845986984815618,0.13499999046325686
GaussianNB,WDC WD30EZRS.csv,0.0,0.07350516319274902
AdaBoostClassifier,WDC WD30EZRS.csv,0.0,0.6594929695129395
RandomForestClassifier,WDC WD30EZRS.csv,0.0,0.4609947204589844
MLPClassifier,WDC WD30EZRS.csv,0.0,0.3249967098236084
FakeAlgorithm,ST320005XXXX.csv,0.4755600814663951,0.12299680709838867
DecisionTreeClassifier,ST320005XXXX.csv,0.4990272373540856,0.15849709510803225
LinearSVC,ST320005XXXX.csv,0.0,0.04449915885925293
SGDClassifier,ST320005XXXX.csv,0.0,0.009000539779663086
NearestCentroid,ST320005XXXX.csv,0.3626689345741404,0.1569983959197998
GaussianNB,ST320005XXXX.csv,0.0,0.13849973678588867
AdaBoostClassifier,ST320005XXXX.csv,0.4990272373540856,0.7214896678924559
RandomForestClassifier,ST320005XXXX.csv,0.0,0.4494948387145996
MLPClassifier,ST320005XXXX.csv,0.0,0.2609977722167969
FakeAlgorithm,WDC WD1600AAJB.csv,0.479427549194991,0.11899828910827635
DecisionTreeClassifier,WDC WD1600AAJB.csv,0.4991394148020654,0.15999913215637207
LinearSVC,WDC WD1600AAJB.csv,0.0,0.13550043106079102
SGDClassifier,WDC WD1600AAJB.csv,0.0,0.045505285263061516
NearestCentroid,WDC WD1600AAJB.csv,0.4091370558375633,0.16049718856811526
GaussianNB,WDC WD1600AAJB.csv,0.4709090909090909,0.1550004482269287
AdaBoostClassifier,WDC WD1600AAJB.csv,0.4991394148020654,0.8859896659851074
RandomForestClassifier,WDC WD1600AAJB.csv,0.4991394148020654,0.45649361610412603
MLPClassifier,WDC WD1600AAJB.csv,0.0,0.4539930820465088
FakeAlgorithm,Hitachi HDS723020BLA642.csv,0.4806980433632999,0.11549949645996095
DecisionTreeClassifier,Hitachi HDS723020BLA642.csv,0.0,0.11749958992004395
LinearSVC,Hitachi HDS723020BLA642.csv,0.0,0.12949824333190918
SGDClassifier,Hitachi HDS723020BLA642.csv,0.0,0.10950088500976562
NearestCentroid,Hitachi HDS723020BLA642.csv,0.08651162790697675,0.13899850845336914
GaussianNB,Hitachi HDS723020BLA642.csv,0.4893395735829433,0.13299942016601562
AdaBoostClassifier,Hitachi HDS723020BLA642.csv,0.4994903160040775,0.9429864883422852
RandomForestClassifier,Hitachi HDS723020BLA642.csv,0.0,0.4209940433502197
MLPClassifier,Hitachi HDS723020BLA642.csv,0.0,0.5349934101104736
FakeAlgorithm,HGST HUS726040ALE610.csv,0.4799583550234253,0.01800060272216797
DecisionTreeClassifier,HGST HUS726040ALE610.csv,0.0,0.1099989414215088
LinearSVC,HGST HUS726040ALE610.csv,0.0,0.1035001277923584
SGDClassifier,HGST HUS726040ALE610.csv,0.0,0.023001432418823242
NearestCentroid,HGST HUS726040ALE610.csv,0.3727683106606274,0.16499829292297366
GaussianNB,HGST HUS726040ALE610.csv,0.0,0.10799837112426758
AdaBoostClassifier,HGST HUS726040ALE610.csv,0.0,1.095484972000122
RandomForestClassifier,HGST HUS726040ALE610.csv,0.0,0.473994255065918
MLPClassifier,HGST HUS726040ALE610.csv,0.0,0.5509936809539795
FakeAlgorithm,WDC WD800JB.csv,0.4768280123583934,0.044501066207885735
DecisionTreeClassifier,WDC WD800JB.csv,0.0,0.1419987678527832
LinearSVC,WDC WD800JB.csv,0.0,0.15149879455566406
SGDClassifier,WDC WD800JB.csv,0.0,0.0820004940032959
NearestCentroid,WDC WD800JB.csv,0.4620798305763246,0.17049813270568848
GaussianNB,WDC WD800JB.csv,0.4965312190287413,0.16699886322021484
AdaBoostClassifier,WDC WD800JB.csv,0.0,1.1374878883361816
RandomForestClassifier,WDC WD800JB.csv,0.0,0.5609927177429199
MLPClassifier,WDC WD800JB.csv,0.0,0.5694940090179443
FakeAlgorithm,WDC WD800AAJB.csv,0.4761020881670534,0.003498554229736328
DecisionTreeClassifier,WDC WD800AAJB.csv,0.0,0.141998291015625
LinearSVC,WDC WD800AAJB.csv,0.0,0.25800156593322754
SGDClassifier,WDC WD800AAJB.csv,0.0,0.05249953269958496
NearestCentroid,WDC WD800AAJB.csv,0.3738214087631725,0.16699743270874026
GaussianNB,WDC WD800AAJB.csv,0.4844748858447489,0.16099858283996582
AdaBoostClassifier,WDC WD800AAJB.csv,0.0,1.1299870014190674
RandomForestClassifier,WDC WD800AAJB.csv,0.0,0.5439929962158203
MLPClassifier,WDC WD800AAJB.csv,0.0,0.5959928035736084
FakeAlgorithm,WDC WD3200BEKX.csv,0.4806517311608961,0.01250004768371582
DecisionTreeClassifier,WDC WD3200BEKX.csv,0.0,0.14499831199645996
LinearSVC,WDC WD3200BEKX.csv,0.0,0.14299798011779785
SGDClassifier,WDC WD3200BEKX.csv,0.0,0.04649949073791504
NearestCentroid,WDC WD3200BEKX.csv,0.2974839480364342,0.18799781799316406
GaussianNB,WDC WD3200BEKX.csv,0.4962465428684314,0.1884949207305908
AdaBoostClassifier,WDC WD3200BEKX.csv,0.0,1.2629854679107666
RandomForestClassifier,WDC WD3200BEKX.csv,0.0,0.4844944477081299
MLPClassifier,WDC WD3200BEKX.csv,0.0,0.7934906482696533
FakeAlgorithm,ST4000DM005.csv,0.4760746147607461,0.00350189208984375
DecisionTreeClassifier,ST4000DM005.csv,0.4996127033307514,0.22299742698669436
LinearSVC,ST4000DM005.csv,0.0,0.1699988842010498
SGDClassifier,ST4000DM005.csv,0.0,0.06549978256225586
NearestCentroid,ST4000DM005.csv,0.3876777251184834,0.21199870109558105
GaussianNB,ST4000DM005.csv,0.4992248062015504,0.22299909591674805
AdaBoostClassifier,ST4000DM005.csv,0.0,2.0314767360687256
RandomForestClassifier,ST4000DM005.csv,0.0,0.5144944190979004
MLPClassifier,ST4000DM005.csv,0.0,0.8299887180328369
FakeAlgorithm,WDC WD800AAJS.csv,0.4808723632463354,0.0045013427734375
DecisionTreeClassifier,WDC WD800AAJS.csv,1.0,0.17749667167663574
LinearSVC,WDC WD800AAJS.csv,0.0,0.2429969310760498
SGDClassifier,WDC WD800AAJS.csv,0.0,0.10949826240539552
NearestCentroid,WDC WD800AAJS.csv,0.4365695659914815,0.16599631309509275
GaussianNB,WDC WD800AAJS.csv,0.4996554100620262,0.17749595642089844
AdaBoostClassifier,WDC WD800AAJS.csv,0.0,1.339482307434082
